Lady Gaga,ARTPOP,Venus,15 Aug 2018 14:37
Charli XCX,Number 1 Angel,Roll with Me,15 Aug 2018 14:34
Charli XCX,Girls Night Out,Girls Night Out,15 Aug 2018 14:30
Dua Lipa,Dua Lipa (Deluxe),Be the One,15 Aug 2018 09:42
Ariana Grande,God is a Woman,God is a woman,15 Aug 2018 09:39
Ariana Grande,God is a Woman,God is a woman,15 Aug 2018 08:43
Drake,More Life,Passionfruit,15 Aug 2018 08:37
Tyler the Creator,OKRA,OKRA,15 Aug 2018 08:35
Fleetwood Mac,Rumours,Go Your Own Way - 2004 Remastered Edition,14 Aug 2018 20:36
Charli XCX,Pop 2,Backseat (feat. Carly Rae Jepsen),14 Aug 2018 13:37
Allie X,Focus,Focus,14 Aug 2018 13:33
Charli XCX,5 in the Morning,5 in the Morning,14 Aug 2018 13:30
Charli XCX,Focus / No Angel,Focus,14 Aug 2018 13:27
Charli XCX,Girls Night Out,Girls Night Out,14 Aug 2018 13:24
Lady Gaga,Joanne (Deluxe),Joanne,14 Aug 2018 13:21
Lady Gaga,Joanne (Deluxe),John Wayne,14 Aug 2018 13:21
Lady Gaga,Joanne (Deluxe),Joanne,14 Aug 2018 13:17
Lana Del Rey,Ultraviolence (Deluxe),Florida Kilos,14 Aug 2018 13:14
BØRNS,Blue Madonna,Blue Madonna,14 Aug 2018 13:14
Lana Del Rey,Ultraviolence (Deluxe),Florida Kilos,14 Aug 2018 13:10
Lana Del Rey,Ultraviolence (Deluxe),Guns and Roses,14 Aug 2018 13:10
Lana Del Rey,Ultraviolence (Deluxe),Guns and Roses,14 Aug 2018 13:06
Marina & the Diamonds,The Family Jewels,Girls,14 Aug 2018 13:00
Ariana Grande,Dangerous Woman,Side to Side,14 Aug 2018 12:54
Ariana Grande,The Light Is Coming,the light is coming (feat. Nicki Minaj),14 Aug 2018 12:51
Ariana Grande,My Everything,One Last Time,14 Aug 2018 12:47
